id,city_name,signup_os,signup_channel,vehicle_make,vehicle_model,vehicle_year,bgc_interval,vehicle_interval,started
58,Strark,android web,Referral,other,other,-1.0,17.0,-1.0,False
59,Berton,ios web,Organic,other,other,-1.0,-1.0,-1.0,False
60,Berton,other,Referral,other,other,-1.0,0.0,-1.0,False
61,Strark,ios web,Organic,other,other,-1.0,6.0,-1.0,False
62,Strark,ios web,Organic,other,other,-1.0,0.0,-1.0,False
63,Berton,android web,Paid,other,other,-1.0,-1.0,-1.0,False
64,Strark,other,Organic,other,other,-1.0,-1.0,-1.0,False
65,Berton,android web,Organic,other,other,-1.0,-1.0,-1.0,False
66,Strark,other,Paid,other,other,-1.0,37.0,-1.0,False
67,Strark,other,Organic,other,other,-1.0,26.0,-1.0,False
68,Berton,ios web,Organic,other,other,-1.0,-1.0,-1.0,False
69,Strark,ios web,Paid,Cadillac,Escalade,2011.0,17.0,27.0,False
70,Strark,ios web,Organic,other,other,-1.0,6.0,-1.0,False
71,Berton,windows,Paid,other,other,-1.0,12.0,-1.0,False
72,Strark,ios web,Paid,other,other,-1.0,1.0,-1.0,False
73,Strark,android web,Organic,other,other,-1.0,-1.0,-1.0,False
74,Strark,android web,Referral,other,other,-1.0,-1.0,-1.0,False
75,Wrouver,ios web,Referral,Acura,RDX,2008.0,-1.0,29.0,False
76,Strark,android web,Organic,other,other,-1.0,3.0,-1.0,False
77,Strark,other,Referral,other,other,-1.0,10.0,-1.0,False
78,Berton,ios web,Organic,other,other,-1.0,3.0,-1.0,False
79,Strark,windows,Referral,Lexus,ES,2010.0,4.0,28.0,False
80,Berton,android web,Organic,other,other,-1.0,23.0,-1.0,False
81,Berton,ios web,Organic,other,other,-1.0,13.0,-1.0,False
82,Strark,ios web,Referral,Toyota,Prius,2015.0,0.0,0.0,True
83,Berton,ios web,Organic,other,other,-1.0,14.0,-1.0,False
84,Strark,windows,Paid,other,other,-1.0,22.0,-1.0,False
85,Strark,mac,Organic,Honda,CR-V,2007.0,7.0,8.0,True
86,Berton,android web,Referral,other,other,-1.0,3.0,-1.0,False
87,Strark,mac,Organic,other,other,-1.0,2.0,-1.0,False
88,Berton,mac,Referral,other,other,-1.0,13.0,-1.0,False
89,Strark,android web,Organic,other,other,-1.0,19.0,-1.0,False
90,Strark,android web,Paid,other,other,-1.0,-1.0,-1.0,False
91,Strark,other,Referral,other,other,-1.0,13.0,-1.0,False
92,Strark,ios web,Organic,Lexus,CT,2013.0,0.0,0.0,True
93,Berton,android web,Paid,other,other,-1.0,0.0,-1.0,False
94,Berton,ios web,Referral,GMC,Terrain,2015.0,3.0,6.0,True
95,Berton,ios web,Paid,Pontiac,G6,2008.0,30.0,45.0,False
96,Strark,other,Paid,other,other,-1.0,-1.0,-1.0,False
97,Wrouver,mac,Organic,Honda,Civic Hybrid,2008.0,10.0,11.0,True
98,Strark,ios web,Paid,other,other,-1.0,2.0,-1.0,False
99,Strark,android web,Organic,other,other,-1.0,3.0,-1.0,False
100,Wrouver,other,Paid,other,other,-1.0,4.0,-1.0,False
101,Berton,mac,Paid,other,other,-1.0,31.0,-1.0,False
102,Berton,android web,Paid,other,other,-1.0,-1.0,-1.0,False
103,Strark,other,Organic,other,other,-1.0,-1.0,-1.0,False
104,Strark,mac,Paid,other,other,-1.0,-1.0,-1.0,False
105,Berton,other,Organic,other,other,-1.0,18.0,-1.0,True
106,Strark,android web,Referral,other,other,-1.0,6.0,-1.0,False
107,Strark,android web,Paid,other,other,-1.0,0.0,-1.0,False
108,Strark,mac,Paid,Honda,Accord,2016.0,-1.0,-1.0,False
109,Strark,android web,Referral,other,other,-1.0,4.0,-1.0,False
110,Berton,other,Paid,Nissan,Versa,2011.0,0.0,2.0,True
111,Berton,other,Organic,other,other,-1.0,-1.0,-1.0,False
112,Strark,mac,Organic,Toyota,Prius,2005.0,6.0,24.0,False
113,Berton,other,Referral,other,other,-1.0,4.0,-1.0,False
114,Strark,ios web,Organic,Honda,Odyssey,2014.0,0.0,0.0,True
115,Berton,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
116,Wrouver,ios web,Paid,other,other,-1.0,21.0,-1.0,False
117,Strark,ios web,Paid,other,other,-1.0,32.0,-1.0,False
118,Berton,android web,Organic,other,other,-1.0,27.0,-1.0,False
119,Berton,ios web,Referral,Honda,CR-V,2014.0,4.0,4.0,True
120,Strark,other,Referral,other,other,-1.0,28.0,-1.0,False
121,Strark,android web,Paid,other,other,-1.0,-1.0,-1.0,False
122,Berton,windows,Paid,other,other,-1.0,16.0,-1.0,False
123,Strark,android web,Paid,Jeep,Grand Cherokee,2014.0,2.0,3.0,True
124,Strark,other,Organic,other,other,-1.0,0.0,-1.0,False
125,Strark,ios web,Paid,Toyota,Prius,2015.0,19.0,19.0,True
126,Strark,ios web,Referral,other,other,-1.0,11.0,-1.0,False
127,Berton,ios web,Referral,Toyota,Corolla,2016.0,-1.0,44.0,False
128,Berton,ios web,Organic,Honda,Odyssey,2008.0,2.0,4.0,True
129,Berton,ios web,Paid,other,other,-1.0,2.0,-1.0,True
130,Strark,other,Referral,other,other,-1.0,-1.0,-1.0,False
131,Strark,ios web,Paid,other,other,-1.0,1.0,-1.0,False
132,Strark,ios web,Referral,other,other,-1.0,9.0,-1.0,False
133,Berton,ios web,Paid,Volkswagen,GTI,2007.0,18.0,20.0,False
134,Strark,ios web,Organic,Honda,Civic,2012.0,4.0,42.0,False
135,Berton,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
136,Strark,android web,Referral,other,other,-1.0,23.0,-1.0,False
137,Berton,windows,Organic,other,other,-1.0,32.0,-1.0,False
138,Strark,ios web,Referral,Nissan,Versa,2014.0,3.0,5.0,True
139,Berton,ios web,Organic,other,other,-1.0,7.0,-1.0,False
140,Berton,ios web,Paid,Kia,Optima,2014.0,7.0,12.0,False
141,Strark,ios web,Paid,other,other,-1.0,19.0,-1.0,False
142,Berton,other,Referral,other,other,-1.0,2.0,-1.0,False
143,Berton,android web,Paid,other,other,-1.0,24.0,-1.0,False
144,Berton,ios web,Organic,Ford,F-150,2001.0,29.0,41.0,False
145,Berton,ios web,Paid,other,other,-1.0,25.0,-1.0,False
146,Wrouver,other,Referral,other,other,-1.0,13.0,-1.0,False
147,Strark,windows,Referral,Audi,A4,2015.0,6.0,18.0,True
148,Strark,other,Referral,other,other,-1.0,-1.0,-1.0,False
149,Strark,windows,Organic,Honda,Insight Hybrid,2010.0,0.0,31.0,False
150,Strark,android web,Organic,Hyundai,Elantra,2014.0,7.0,16.0,False
151,Berton,mac,Referral,other,other,-1.0,4.0,-1.0,False
152,Berton,other,Referral,other,other,-1.0,-1.0,-1.0,False
153,Strark,ios web,Paid,other,other,-1.0,19.0,-1.0,False
154,Berton,android web,Referral,other,other,-1.0,9.0,-1.0,False
155,Berton,other,Organic,other,other,-1.0,6.0,-1.0,False
156,Berton,mac,Organic,Acura,RDX,2015.0,0.0,2.0,True
157,Berton,mac,Paid,other,other,-1.0,-1.0,-1.0,False
158,Berton,android web,Paid,Toyota,Camry,2016.0,43.0,43.0,False
159,Strark,android web,Paid,other,other,-1.0,5.0,-1.0,False
160,Berton,android web,Organic,other,other,-1.0,2.0,-1.0,False
161,Strark,android web,Paid,other,other,-1.0,14.0,-1.0,False
162,Strark,ios web,Referral,Nissan,Sentra,2015.0,0.0,7.0,True
163,Berton,windows,Paid,other,other,-1.0,2.0,-1.0,False
164,Wrouver,other,Paid,other,other,-1.0,31.0,-1.0,False
165,Strark,mac,Organic,other,other,-1.0,7.0,-1.0,False
166,Berton,other,Referral,Chevrolet,Malibu,2015.0,0.0,0.0,True
167,Berton,other,Paid,other,other,-1.0,18.0,-1.0,False
168,Strark,windows,Paid,Kia,Soul,2011.0,0.0,2.0,True
169,Strark,windows,Organic,other,other,-1.0,10.0,-1.0,False
170,Strark,mac,Referral,Honda,Civic,2015.0,13.0,16.0,False
171,Berton,ios web,Referral,Nissan,Altima,2008.0,1.0,12.0,True
172,Berton,other,Referral,Jeep,Grand Cherokee,2006.0,0.0,27.0,False
173,Berton,android web,Paid,Dodge,Journey,2009.0,3.0,16.0,False
174,Berton,other,Organic,other,other,-1.0,-1.0,-1.0,False
175,Berton,ios web,Referral,Jeep,Compass,2011.0,0.0,3.0,True
176,Strark,other,Organic,BMW,3-series,2012.0,0.0,3.0,True
177,Strark,windows,Paid,Infiniti,G Sedan,2012.0,5.0,6.0,True
178,Berton,ios web,Referral,other,other,-1.0,9.0,-1.0,False
179,Berton,ios web,Paid,Chevrolet,Cruze,2012.0,16.0,44.0,False
180,Berton,mac,Paid,Subaru,Forester,2009.0,12.0,32.0,False
181,Berton,windows,Referral,Honda,Civic,2012.0,1.0,1.0,False
182,Strark,ios web,Referral,other,other,-1.0,6.0,-1.0,True
183,Strark,ios web,Paid,Honda,Odyssey,2014.0,4.0,17.0,True
184,Strark,android web,Referral,other,other,-1.0,-1.0,-1.0,False
185,Strark,ios web,Referral,Buick,Century,2001.0,12.0,24.0,True
186,Strark,android web,Referral,Toyota,Camry,2016.0,17.0,18.0,False
187,Strark,android web,Paid,Hyundai,Elantra,2016.0,0.0,1.0,True
188,Strark,ios web,Referral,other,other,-1.0,17.0,-1.0,False
189,Strark,android web,Organic,Honda,Accord,2012.0,13.0,18.0,False
190,Strark,android web,Referral,Kia,Optima,2004.0,3.0,4.0,True
191,Berton,windows,Paid,other,other,-1.0,5.0,-1.0,False
192,Strark,windows,Paid,other,other,-1.0,29.0,-1.0,False
193,Wrouver,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
194,Strark,android web,Referral,Mazda,MAZDA3,2016.0,0.0,0.0,True
195,Berton,ios web,Referral,Subaru,XV Crosstrek,2016.0,0.0,1.0,True
196,Strark,ios web,Organic,other,other,-1.0,1.0,-1.0,False
197,Berton,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
198,Strark,android web,Referral,Dodge,Charger,2006.0,8.0,9.0,True
199,Strark,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
200,Strark,mac,Organic,Kia,Optima,2012.0,2.0,3.0,True
201,Strark,android web,Paid,Ford,Flex,2010.0,1.0,1.0,True
202,Berton,android web,Referral,BMW,7-series,2008.0,3.0,15.0,False
203,Berton,android web,Paid,other,other,-1.0,4.0,-1.0,False
204,Strark,android web,Paid,Toyota,Corolla,2016.0,14.0,35.0,False
205,Strark,other,Referral,Toyota,RAV4,2015.0,6.0,16.0,False
206,Strark,android web,Organic,Dodge,Charger,2014.0,11.0,22.0,True
207,Wrouver,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
208,Strark,android web,Organic,other,other,-1.0,18.0,-1.0,False
209,Berton,android web,Referral,Chevrolet,Traverse,2011.0,0.0,3.0,True
210,Strark,other,Referral,other,other,-1.0,36.0,-1.0,False
211,Berton,ios web,Organic,other,other,-1.0,-1.0,-1.0,False
212,Strark,ios web,Paid,other,other,-1.0,8.0,-1.0,False
213,Strark,android web,Paid,other,other,-1.0,-1.0,-1.0,False
214,Strark,other,Referral,other,other,-1.0,-1.0,-1.0,False
215,Strark,android web,Referral,other,other,-1.0,4.0,-1.0,False
216,Berton,ios web,Paid,Dodge,Avenger,2009.0,14.0,23.0,False
217,Berton,ios web,Referral,Volkswagen,Jetta,2002.0,0.0,3.0,True
218,Strark,other,Organic,other,other,-1.0,-1.0,-1.0,False
219,Berton,windows,Paid,other,other,-1.0,-1.0,-1.0,False
220,Berton,android web,Paid,other,other,-1.0,7.0,-1.0,False
221,Berton,android web,Paid,Honda,Civic,2007.0,8.0,8.0,False
222,Strark,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
223,Strark,other,Referral,other,other,-1.0,-1.0,-1.0,False
224,Strark,android web,Organic,Ford,Expedition,2005.0,31.0,49.0,False
225,Wrouver,windows,Paid,other,other,-1.0,-1.0,-1.0,False
226,Berton,android web,Paid,other,other,-1.0,14.0,-1.0,False
227,Strark,android web,Paid,Nissan,Sentra,2006.0,8.0,26.0,False
228,Strark,android web,Paid,other,other,-1.0,-1.0,-1.0,False
229,Strark,other,Referral,other,other,-1.0,-1.0,-1.0,False
230,Berton,android web,Paid,other,other,-1.0,28.0,-1.0,False
231,Berton,ios web,Referral,Lexus,ES,2007.0,7.0,8.0,False
232,Strark,android web,Referral,Audi,A4,2009.0,0.0,2.0,True
233,Berton,ios web,Organic,Honda,Civic,2011.0,3.0,45.0,False
234,Strark,other,Referral,other,other,-1.0,6.0,-1.0,False
235,Strark,android web,Referral,Nissan,Sentra,2011.0,1.0,2.0,False
236,Strark,other,Referral,other,other,-1.0,-1.0,-1.0,False
237,Berton,android web,Organic,other,other,-1.0,0.0,-1.0,False
238,Strark,other,Paid,other,other,-1.0,-1.0,-1.0,False
239,Wrouver,mac,Organic,other,other,-1.0,19.0,-1.0,False
240,Berton,ios web,Referral,Honda,Civic,2015.0,5.0,14.0,False
241,Berton,ios web,Paid,other,other,-1.0,7.0,-1.0,False
242,Berton,other,Organic,other,other,-1.0,0.0,-1.0,False
243,Strark,mac,Referral,Lexus,IS,2008.0,23.0,23.0,False
244,Berton,windows,Referral,Toyota,Prius,2014.0,0.0,3.0,True
245,Berton,ios web,Referral,Chrysler,Town and Country,2012.0,11.0,22.0,True
246,Strark,other,Organic,other,other,-1.0,-1.0,-1.0,False
247,Berton,mac,Referral,other,other,-1.0,-1.0,-1.0,False
248,Strark,android web,Referral,other,other,-1.0,0.0,-1.0,False
249,Strark,android web,Organic,other,other,-1.0,12.0,-1.0,False
250,Berton,other,Referral,other,other,-1.0,-1.0,-1.0,False
251,Berton,mac,Paid,Toyota,Sienna,2001.0,4.0,21.0,False
252,Strark,windows,Organic,other,other,-1.0,-1.0,-1.0,False
253,Strark,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
254,Strark,ios web,Referral,Scion,iM,2016.0,0.0,2.0,True
255,Strark,other,Organic,other,other,-1.0,-1.0,-1.0,False
256,Wrouver,android web,Paid,other,other,-1.0,10.0,-1.0,False
257,Berton,other,Organic,Nissan,Sentra,2014.0,5.0,4.0,True
258,Strark,windows,Paid,other,other,-1.0,14.0,-1.0,False
259,Berton,android web,Organic,other,other,-1.0,0.0,-1.0,False
260,Berton,mac,Referral,Ford,Freestyle,2006.0,9.0,16.0,False
261,Strark,android web,Paid,other,other,-1.0,-1.0,-1.0,False
262,Strark,android web,Referral,other,other,-1.0,18.0,-1.0,False
263,Strark,ios web,Organic,Toyota,RAV4,2014.0,3.0,23.0,False
264,Berton,android web,Paid,Nissan,Versa,2014.0,7.0,13.0,True
265,Berton,other,Organic,other,other,-1.0,3.0,-1.0,False
266,Wrouver,android web,Paid,other,other,-1.0,-1.0,-1.0,False
267,Strark,windows,Paid,Nissan,Altima,2015.0,0.0,7.0,True
268,Strark,ios web,Paid,other,other,-1.0,34.0,-1.0,False
269,Strark,other,Paid,other,other,-1.0,5.0,-1.0,False
270,Berton,android web,Paid,other,other,-1.0,10.0,-1.0,False
271,Berton,windows,Paid,other,other,-1.0,0.0,-1.0,False
272,Berton,other,Organic,other,other,-1.0,0.0,-1.0,False
273,Berton,android web,Paid,other,other,-1.0,2.0,-1.0,False
274,Strark,other,Organic,Saturn,VUE,2003.0,8.0,12.0,False
275,Strark,android web,Referral,Honda,Accord,2012.0,14.0,45.0,False
276,Strark,other,Organic,other,other,-1.0,1.0,-1.0,False
277,Strark,windows,Paid,other,other,-1.0,21.0,-1.0,False
278,Strark,ios web,Paid,other,other,-1.0,33.0,-1.0,False
279,Berton,ios web,Referral,other,other,-1.0,12.0,-1.0,False
280,Berton,windows,Organic,Toyota,Avalon,2014.0,6.0,18.0,False
281,Strark,mac,Paid,Toyota,Tacoma,2016.0,0.0,4.0,True
282,Strark,mac,Paid,other,other,-1.0,-1.0,-1.0,False
283,Strark,android web,Organic,other,other,-1.0,-1.0,-1.0,False
284,Strark,windows,Referral,Mazda,MAZDA6,2014.0,20.0,38.0,False
285,Berton,ios web,Referral,other,other,-1.0,17.0,-1.0,False
286,Berton,mac,Paid,other,other,-1.0,-1.0,-1.0,False
287,Strark,android web,Referral,other,other,-1.0,1.0,-1.0,False
288,Strark,android web,Referral,Lexus,IS,2007.0,1.0,1.0,True
289,Strark,other,Organic,other,other,-1.0,-1.0,-1.0,False
290,Strark,mac,Referral,other,other,-1.0,3.0,-1.0,False
291,Strark,ios web,Organic,Dodge,Dart,2013.0,8.0,12.0,True
292,Strark,mac,Referral,other,other,-1.0,3.0,-1.0,False
293,Strark,other,Paid,Kia,Soul,2014.0,16.0,17.0,True
294,Strark,ios web,Organic,Honda,Accord,2015.0,11.0,17.0,False
295,Strark,android web,Paid,other,other,-1.0,0.0,-1.0,False
296,Berton,ios web,Referral,other,other,-1.0,-1.0,-1.0,False
297,Berton,ios web,Organic,other,other,-1.0,-1.0,-1.0,False
298,Strark,ios web,Organic,Chevrolet,Suburban,2007.0,2.0,6.0,False
299,Strark,other,Referral,other,other,-1.0,-1.0,-1.0,False
300,Strark,ios web,Referral,other,other,-1.0,12.0,-1.0,False
301,Strark,other,Paid,other,other,-1.0,-1.0,-1.0,False
302,Strark,android web,Organic,Honda,Odyssey,2005.0,0.0,33.0,False
303,Berton,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
304,Wrouver,other,Organic,other,other,-1.0,-1.0,-1.0,False
305,Strark,mac,Paid,Nissan,Xterra,2007.0,7.0,27.0,False
306,Berton,ios web,Paid,other,other,-1.0,4.0,-1.0,False
307,Berton,other,Referral,other,other,-1.0,-1.0,-1.0,False
308,Strark,android web,Referral,Dodge,Avenger,2012.0,42.0,46.0,False
309,Strark,ios web,Referral,Honda,Civic,2014.0,6.0,6.0,True
310,Strark,android web,Referral,other,other,-1.0,1.0,-1.0,False
311,Strark,android web,Referral,Kia,Forte,2017.0,3.0,32.0,False
312,Strark,windows,Referral,Lexus,IS,2014.0,12.0,15.0,True
313,Strark,windows,Paid,Toyota,Highlander,2013.0,7.0,7.0,True
314,Strark,ios web,Referral,other,other,-1.0,-1.0,-1.0,False
315,Strark,ios web,Paid,other,other,-1.0,6.0,-1.0,False
316,Strark,other,Referral,other,other,-1.0,7.0,-1.0,False
317,Strark,windows,Paid,Hyundai,Santa Fe,2016.0,0.0,0.0,True
318,Berton,android web,Organic,Toyota,Camry,2014.0,46.0,57.0,False
319,Strark,android web,Organic,other,other,-1.0,-1.0,-1.0,False
320,Strark,other,Organic,other,other,-1.0,0.0,-1.0,False
321,Berton,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
322,Strark,windows,Paid,other,other,-1.0,0.0,-1.0,False
323,Strark,ios web,Paid,other,other,-1.0,12.0,-1.0,False
324,Strark,windows,Paid,other,other,-1.0,0.0,-1.0,False
325,Berton,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
326,Berton,other,Referral,other,other,-1.0,15.0,-1.0,False
327,Strark,android web,Referral,Nissan,Sentra,2014.0,7.0,7.0,True
328,Wrouver,other,Organic,other,other,-1.0,0.0,-1.0,False
329,Strark,android web,Paid,other,other,-1.0,17.0,-1.0,False
330,Berton,ios web,Organic,other,other,-1.0,22.0,-1.0,False
331,Strark,other,Referral,other,other,-1.0,2.0,-1.0,False
332,Berton,android web,Organic,BMW,3-series,2012.0,6.0,6.0,True
333,Strark,windows,Referral,other,other,-1.0,-1.0,-1.0,False
334,Strark,ios web,Referral,other,other,-1.0,24.0,-1.0,False
335,Berton,mac,Paid,other,other,-1.0,33.0,-1.0,False
336,Berton,windows,Referral,other,other,-1.0,30.0,-1.0,False
337,Berton,android web,Referral,Toyota,Prius V,2014.0,2.0,36.0,False
338,Berton,mac,Referral,Ford,Focus,2013.0,1.0,1.0,True
339,Strark,android web,Referral,Honda,Accord,2016.0,5.0,40.0,False
340,Wrouver,windows,Referral,other,other,-1.0,-1.0,-1.0,False
341,Strark,other,Organic,other,other,-1.0,-1.0,-1.0,False
342,Wrouver,other,Paid,other,other,-1.0,20.0,-1.0,False
343,Strark,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
344,Berton,android web,Paid,other,other,-1.0,16.0,-1.0,False
345,Strark,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
346,Berton,ios web,Paid,Toyota,Sienna,2006.0,23.0,35.0,False
347,Wrouver,other,Organic,other,other,-1.0,-1.0,-1.0,False
348,Strark,android web,Paid,other,other,-1.0,2.0,-1.0,False
349,Berton,android web,Referral,Toyota,Prius,2013.0,0.0,3.0,False
350,Strark,android web,Paid,other,other,-1.0,-1.0,-1.0,False
351,Berton,android web,Paid,other,other,-1.0,26.0,-1.0,False
352,Strark,ios web,Referral,other,other,-1.0,15.0,-1.0,False
353,Berton,android web,Paid,other,other,-1.0,0.0,-1.0,False
354,Strark,android web,Referral,other,other,-1.0,4.0,-1.0,False
355,Berton,other,Organic,other,other,-1.0,0.0,-1.0,False
356,Berton,mac,Paid,other,other,-1.0,-1.0,-1.0,False
357,Strark,android web,Referral,other,other,-1.0,4.0,-1.0,False
358,Strark,android web,Paid,other,other,-1.0,1.0,-1.0,False
359,Strark,android web,Referral,other,other,-1.0,19.0,-1.0,False
360,Berton,android web,Paid,other,other,-1.0,1.0,-1.0,False
361,Berton,android web,Organic,other,other,-1.0,-1.0,-1.0,False
362,Strark,ios web,Referral,other,other,-1.0,-1.0,-1.0,False
363,Strark,windows,Organic,Infiniti,Q50,2014.0,1.0,1.0,True
364,Strark,other,Paid,Audi,A4,2008.0,9.0,15.0,False
365,Strark,ios web,Referral,Toyota,Camry,2016.0,10.0,24.0,True
366,Strark,mac,Organic,other,other,-1.0,0.0,-1.0,False
367,Berton,other,Paid,Honda,Accord,2015.0,5.0,5.0,False
368,Strark,mac,Referral,other,other,-1.0,7.0,-1.0,False
369,Berton,android web,Organic,other,other,-1.0,2.0,-1.0,False
370,Berton,windows,Paid,other,other,-1.0,19.0,-1.0,False
371,Berton,windows,Organic,Lexus,ES,2011.0,0.0,0.0,True
372,Strark,other,Paid,other,other,-1.0,34.0,-1.0,False
373,Strark,android web,Referral,Subaru,Impreza,2004.0,5.0,12.0,False
374,Berton,other,Organic,other,other,-1.0,3.0,-1.0,False
375,Strark,ios web,Referral,Scion,xB,2004.0,1.0,1.0,True
376,Berton,mac,Paid,Volkswagen,Jetta,2015.0,30.0,34.0,False
377,Strark,other,Organic,other,other,-1.0,-1.0,-1.0,False
378,Berton,mac,Paid,other,other,-1.0,-1.0,-1.0,False
379,Berton,ios web,Referral,Ford,Fiesta,2013.0,1.0,6.0,True
380,Berton,android web,Organic,other,other,-1.0,0.0,-1.0,False
381,Berton,android web,Paid,other,other,-1.0,7.0,-1.0,False
382,Strark,android web,Referral,Toyota,Prius V,2013.0,3.0,15.0,False
383,Strark,windows,Referral,other,other,-1.0,3.0,-1.0,False
384,Strark,ios web,Referral,Toyota,Camry,2014.0,8.0,16.0,False
385,Wrouver,ios web,Referral,Volkswagen,Jetta,2014.0,5.0,10.0,True
386,Berton,windows,Organic,other,other,-1.0,0.0,-1.0,False
387,Strark,ios web,Organic,other,other,-1.0,24.0,-1.0,False
388,Strark,ios web,Referral,other,other,-1.0,1.0,-1.0,False
389,Strark,android web,Paid,other,other,-1.0,-1.0,-1.0,False
390,Strark,other,Organic,other,other,-1.0,-1.0,-1.0,False
391,Strark,windows,Organic,other,other,-1.0,28.0,-1.0,False
392,Strark,other,Organic,other,other,-1.0,-1.0,-1.0,False
393,Berton,ios web,Referral,other,other,-1.0,26.0,-1.0,False
394,Strark,android web,Paid,other,other,-1.0,3.0,-1.0,False
395,Strark,android web,Organic,other,other,-1.0,-1.0,-1.0,False
396,Strark,android web,Organic,other,other,-1.0,-1.0,-1.0,False
397,Strark,mac,Paid,other,other,-1.0,4.0,-1.0,False
